artist_id,artist_name
100155,"Various Artists - Azzurra Music"
100545,"Génération 80"
101408,"Generation 90"
102976,"Chansons Du Soleil"
103045,"Top TV 80"
103061,"Generation R&B"
148326,"Best Of Hits"
148354,"Collection Grands Classiques"
154485,"Un Siècle De Musiques De Films"
260250,"Compilation Générique TV"
317527,"Les Choeurs De Noël"
323538,"Future Hitmakers"
326393,"Christmas Songs"
342865,"Generation Mix"
378599,"Chansons et comptines"
607173,"Fun Hits"
607174,"Variété Française"
614025,"Yoga"
1003732,"100 Ans De Musiques De Films"
1184968,"Zen Music Garden"
1198404,"Pop 90 Orchestra"
1206296,"New York Jazz Lounge"
1210321,"Pop 80 Orchestra"
1351022,"Nature Sounds Nature Music"
1622308,"Universal Sound Machine"
1650516,"Movie Sounds Unlimited"
1658572,"Purple Disco Machine"
3159141,"La playlist des vacances"
4293493,"Chansons de Noel"
4293527,"Musique de Noel Academie"
5143340,"Le Choeur des Enfants"
5845951,"8-Bit Arcade"
6721277,"The Soundtrack Studio Stars"
6881923,"Comptines TV"
7047655,"La Superstar Des Comptines Rondes Et Berceuses"
7960308,"Les années 90"
8241584,"La Musique de Jazz de Détente"
9934148,"Daily Classic"
111847281,"Jazz douce musique d'ambiance"
12187072,"100% Hits - Chanson Française"
12592840,"Remix Sport Workout"
13670585,"Monde des Titounis"
14385537,"Tubes variété française"
303718,"Musique De Film"
7149685,"Ensemble Noël Forever"
9623960,"Inconnu. Compositeur Auteur"
8953,"Rock"
809170,"NO ARTIST"
9219,"Disney"
138663842,"Comédie-Française"
5080,"Various Artists"
72829,"Nature"
82350,"Anonymous"
9334696,"Ensemble de Musique Zen Relaxante"
7047655,"La Superstar Des Comptines Rondes Et Berceuses"
113877352,"Lofi Fruits Music"
1351022,"Nature Sounds Nature Music"
1384887,"Rain Sounds"
7556588,"Fearless Motivation Instrumentals"
7556588,"Fearless Motivation"
1206296,"New York Jazz Lounge"
10490735,"Bouddha musique sanctuaire"
11206176,"Geek Music"
123564162,"Sleep Fruits Music"
1518108,"Bar Lounge"
304587,"Electro Lounge All Stars"
72042482,"Music Travel Love"
171522057,"sped up nightcore"
874704,"The Kiboomers"
10600841,"La Reine des chansons pour enfants et bébés"
12387848,""
66006282,""
10278650,""
201397497,""
9003438,""
68260072,"Musique apaisante: d'Marie"
8358182,"Bruit Blanc"
9110932,"Sommeil profond"
2228191,"Recherche sur le Bruit Blanc"
11976468,"Comptines"
12358858,"Sons de la Nature Projet France"
1182806,"Oasis de Détente et Relaxation"
8101459,"Zone de Détente"
9631962,"La fée des berceuses"
148551,"Sounds Of Nature"
11847281,"Jazz douce musique d'ambiance"
7903288,"Musique de Yoga"
8222242,"Zone de la Musique Relaxante"
11438486,"Zen Ambiance D'eau Calme"
68032132,"Berceuse bébé"
12062156,"Workout Music Tv"
9461686,"Relaxation Meditation Songs Divine"
10228572,"Oasis de sommeil"
67912782,"Médecine Relaxante"
1185978,"Musique Douce Ensemble"
1351107,"Piano Relaxation Music Masters"
9210076,"Contes pour enfants"
98220252,"Bruit De La Mer"
9751222,"Musique pour l'Étude Spécialiste"
4624308,"Musique pour Enfants Dodo"
10815132,"Club de Méditer de Détendre"
11799649,"Sophrologie musique d'ambiance"
11904883,"Canciones Para Bebés Y Música Para Bebé"
1605060,"Piano Instrumental"
78184482,"Les plus belles comptines d'Okoo"
1420041,"Christmas Hits"
152575,"Petit Ours Brun"
59088142,"Histoires et contes pour enfants"
67304572,"Relaxing Radiance"
51971232,"ASMR Glow"
342868,"50 Tubes Du Top"
64147172,"Jazz Lounge Playlist"
85070,"Les Voix De L'émotion"
1461005,"Musique de Relaxation"
7391966,"Bébé Berceuse"
7574792,"Just Relax Music Universe"
