artist_id,contact_id
130,563079
301,575090
748,563691
888,598109
1130,33388
1725,561835
2251,587718
2536,1033442
3191,638882
3191,13941
3350,567403
3433,657235
3554,21508
4063,3489086
5353,564612
5551,564916
6304,590976
6376,578696
7585,769342
7768,595552
8153,82848
9117,563624
9242,15186
10852,564534
12125,676137
12474,580284
12810,605626
13676,575103
13795,3754294
13866,727467
15312,637812
16003,575168
17076,2989911
54130,2045368
55383,623366
55737,716527
55771,576894
55916,37955
56386,780833
57018,658242
57180,955516
57395,722626
57793,611420
58877,23212
68414,12710
68598,894783
70889,1883629
76884,837638
77600,2134527
78772,642953
84945,702062
85074,770464
85078,770513
85081,1002137
85082,718345
91948,575191
92757,2642825
92777,817287
92778,797785
92830,1317760
94221,1311762
94226,565351
124952,797784
151335,1632229
152068,587301
248102,805719
289831,562537
309680,1014090
394667,6737135
436733,5480222
455489,37043
468847,848777
561821,681466
875419,4811066
895570,2025031
1028626,882947
1033392,614058
1088859,9018343
1196215,2033348
1377470,2134334
1408621,587362
1408621,571192
1437823,4959630
1486813,1632225
1501881,2024040
1503380,15598
1508696,1362980
1533165,865308
1635714,3636043
1635714,1019573
4025973,1440118
4328425,3321238
4333887,1125631
4385064,946483
4416801,4332515
4438587,5010733
4553622,1530166
4720719,5792958
4794435,1076163
4856051,1361070
4868580,2030422
5013120,3299566
5062319,84393
5144502,5491853
5241750,4849543
5384684,2134330
5593078,2449146
5886866,3774261
5917217,4795890
6358380,5982545
6887371,3724421
7548660,647497
7556588,4511866
8125697,5981792
8184248,2161091
8409650,4845452
8850904,2433756
9115926,5901633
9644268,3773763
9830970,4911291
9961576,3613538
10147346,4289599
10147346,4289600
10182750,3066806
10200920,4872593
10391776,5065100
11100244,3328894
11234719,2850966
11274354,3560562
11317134,5023225
12142738,5759709
12218918,4007288
12236096,3996992
12271282,4866713
12337914,3748406
12526316,3747637
12546038,5453614
12731273,602432
13207383,1486594
13314513,9434903
13357141,5468700
13362347,4077928
13381609,9358766
13835607,6691235
13835607,5453610
14498725,7841454
51495052,5940411
53742712,991868
53742712,5065084
54079802,5901632
55877602,5367634
59874922,5297258
64501702,4857976
67181132,5065087
71363652,5942055
72081862,5396584
74322952,5738220
74514052,5733815
78498562,5242425
81094772,5981812
90567882,5603993
101037322,6934431
105047672,6330126
113077102,5538698
115903562,5769346
118834232,5998312
152271032,8056313
